PMID	PubDate	Species
40650059	2025 Jun 29	Mouse
40646376	2025 Nov	Mouse
40641371	2025 Dec	Mouse
40638212	2025 Nov 1	Mouse
40635000	2025 Jul 9	Mouse
40634791	2025 Jul	Mouse
40633452	2025 Oct	Mouse
40628511	2025 Mar 28	Mouse
40628108	2025 Nov	Mouse
40624668	2025 Jul 7	Mouse
40621694	2025 Jul 7	Mouse
40620422	2025 Jun	Mouse
40620356	2025 Sep	Mouse
40618872	2025 Oct 15	Mouse
40618799	2025 Aug	Mouse
40618705	2025 Sep	Mouse
40618631	2026 Jan 5	Mouse
40618094	2025 Jul 5	Mouse
40616212	2025 Jul	Mouse
40616103	2025 Jul 5	Mouse
40611524	2025 Aug	Mouse
40611375	2025 Jul 16	Mouse
40606845	2025 Jul	Mouse
40605494	2025 Oct	Mouse
40605150	2025 Aug	Mouse
40604282	2025 Aug	Mouse
40602581	2025 Aug	Mouse
40595596	2025 Jul 1	Mouse
40592720	2025 Jul 1	Mouse
40592131	2025 Sep	Mouse
40587399	2025 Jun 13	Mouse
40585250	2025 Jun 9	Mouse
40584820	2025 Sep	Mouse
40583471	2025 Nov	Mouse
40583463	2025 Sep	Mouse
40583237	2025 Sep	Mouse
40582653	2025 Aug	Mouse
40582373	2025 Sep	Mouse
40581888	2025 Jul	Mouse
40579479	2025 Jul	Mouse
40570942	2025 Aug	Mouse
40569959	2025	Mouse
40555911	2025 Jun 25	Mouse
40553578	2025 Jun 24	Mouse
40545529	2025 Jun 22	Mouse
40545361	2025	Mouse
40544666	2025 Sep 23	Mouse
40544314	2025 Jun 21	Mouse
40544000	2025 Aug	Mouse
40543563	2025 Jun 19	Mouse
40542398	2025 Jun 20	Mouse
40541821	2025 Sep	Mouse
40541454	2025 Jun 20	Mouse
40540898	2025 Sep 23	Mouse
40538163	2025 Jul 1	Mouse
40534503	2025 Jul 1	Mouse
40527441	2025 Oct	Mouse
40522441	2025 Jul	Mouse
40520017	2025	Mouse
40517943	2025 Sep	Mouse
40517915	2025 Jul 24	Mouse
40506565	2025 Sep	Mouse
40505483	2025 Aug	Mouse
40502622	2025 Aug	Mouse
40501760	2025 Jun 1	Mouse
40501713	2025 May 27	Mouse
40500748	2025 Jun 11	Mouse
40496065	2025 May	Mouse
40494201	2025 Aug 28	Mouse
40490703	2025 Jun 9	Mouse
40478933	2025 Jun 6	Mouse
40476065	2025 May	Mouse
40475787	2025	Mouse
40474870	2025	Mouse
40466654	2025 Jun 13	Mouse
40463228	2025 May 13	Mouse
40463116	2025 May 15	Mouse
40463059	2025 May 13	Mouse
40462979	2025 May 18	Mouse
40461512	2025 Jun 3	Mouse
40455747	2025	Mouse
40448783	2025	Mouse
40448769	2025	Mouse
40448420	2025 May 31	Mouse
40448062	2025 May 30	Mouse
40447860	2025 Jun	Mouse
40447254	2025 Sep	Mouse
40445329	2025 Jun 10	Mouse
40437758	2025 Sep 3	Mouse
40437041	2025 May 28	Mouse
40436126	2025 Jun 26	Mouse
40435578	2025 Jul 25	Mouse
40433051	2025	Mouse
40431555	2025 May 12	Mouse
40427396	2025 Apr 25	Mouse
40425566	2025 May 27	Mouse
40421143	2025 May	Mouse
40420355	2025 May	Mouse
40414473	2025 Sep	Mouse
40410671	2025 May 23	Mouse
40407177	2025 Aug	Mouse
40403559	2025 Nov	Mouse
40400312	2025 Jun	Mouse
40399261	2025 May 22	Mouse
40397763	2025 Jun 4	Mouse
40395084	2025 Jul	Mouse
40394653	2025 May 21	Mouse
40391077	2025	Mouse
40387631	2025 May	Mouse
40386290	2025 Jun	Mouse
40383351	2025 Aug	Mouse
40381504	2025 Jul	Mouse
40379798	2025 Aug	Mouse
40379185	2025 Jun	Mouse
40379111	2025 Aug	Mouse
40375383	2025 Jun 10	Mouse
40375346	2025 May 15	Mouse
40374649	2025 May 15	Mouse
40370470	2025	Mouse
40369255	2025 May 14	Mouse
40366222	2025 May 31	Mouse
40360087	2025 Aug 1	Mouse
40358029	2025 May 22	Mouse
40357333	2025	Mouse
40356240	2025 Nov	Mouse
40355406	2025 May 12	Mouse
40354861	2025 Jun	Mouse
40349405	2025 Jun 17	Mouse
40347883	2025 Jun 17	Mouse
40346614	2025 May 9	Mouse
40345612	2025 Aug	Mouse
40345585	2025 Jun	Mouse
40345271	2025 Jun 12	Mouse
40342810	2025	Mouse
40339773	2025 Sep	Mouse
40339496	2025 Jun 5	Mouse
40337550	2025 May	Mouse
40332404	2025 Apr 17	Mouse
40325465	2025 May 5	Mouse
40324641	2025 Jul	Mouse
40322041	2025 May	Mouse
40321804	2025	Mouse
40318827	2025 Nov	Mouse
40318007	2025 May	Mouse
40317692	2025 Jul	Mouse
40316216	2025 Aug	Mouse
40315404	2025 May 13	Mouse
40308880	2025 Apr 26	Mouse
40306348	2025 Aug	Mouse
40304130	2025 Jul	Mouse
40296351	2025 Apr 28	Mouse
40290887	2025 Jun	Mouse
40290123	2025 Jul	Mouse
40288509	2025 Aug	Mouse
40287984	2025 Apr	Mouse
40286845	2025 Sep	Mouse
40279436	2025 Apr 25	Mouse
40277849	2025 Jul	Mouse
40276767	2025 May 16	Mouse
40273050	2025	Mouse
40272163	2025 Jun 3	Mouse
40264709	2025	Mouse
40264591	2025	Mouse
40259333	2025 Apr 21	Mouse
40256789	2025 May	Mouse
40254785	2025 Sep	Mouse
40253827	2025 Jun	Mouse
40253766	2025 May 27	Mouse
40253033	2025 May	Mouse
40250032	2025 Jul	Mouse
40240774	2025 Apr 16	Mouse
40237708	2025 Apr 16	Mouse
40231159	2025 May	Mouse
40229791	2025 Apr 15	Mouse
40229323	2025 Apr 14	Mouse
40229258	2025 Apr 14	Mouse
40228703	2025 Jun	Mouse
40225130	2025 Jun	Mouse
40222272	2025 May 16	Mouse
40222260	2025 Oct	Mouse
40220945	2025 May 15	Mouse
40220712	2025 Jun 15	Mouse
40220130	2025 Jun	Mouse
40215820	2025 Jun	Mouse
40213675	2025	Mouse
40213660	2025	Mouse
40210178	2025 May 28	Mouse
40207563	2025 May	Mouse
40207030	2025 Jun	Mouse
40206403	2025	Mouse
40204189	2025 Jul	Mouse
40197110	2025 Apr 7	Mouse
40194607	2025 Jul	Mouse
40192588	2025 Apr 7	Mouse
40191465	2025 Mar	Mouse
40190344	2025 Mar	Mouse
40188009	2025 Jun	Mouse
40186254	2025 Apr 5	Mouse
40186216	2025 Apr 4	Mouse
40179650	2025 Jun	Mouse
40179178	2025 Apr 4	Mouse
40178220	2025 Apr	Mouse
40176311	2025 Sep	Mouse
40174634	2025 Apr 10	Mouse
40169556	2025 Apr 1	Mouse
40169157	2025 Jun	Mouse
40166328	2025 Aug 14	Mouse
40166233	2025 Mar 17	Mouse
40165083	2025 Mar 31	Mouse
40163719	2025 Apr 8	Mouse
40161844	2025 Mar 14	Mouse
40160694	2025 Mar 26	Mouse
40156068	2025 Mar 29	Mouse
40155964	2025 Mar 29	Mouse
40154729	2025 Aug	Mouse
40150862	2025 May	Mouse
40149899	2025 Mar 2	Mouse
40148904	2025 Mar 27	Mouse
40144306	2025	Mouse
40143596	2025 Mar 31	Mouse
40142050	2025 Mar 12	Mouse
40139647	2025 Aug	Mouse
40139646	2025 Jul	Mouse
40139644	2025 Jun	Mouse
40139394	2025 Jun 10	Mouse
40138492	2025 Mar 26	Mouse
40138455	2025 Mar 26	Mouse
40136230	2025	Mouse
40131994	2025	Mouse
40129871	2025	Mouse
40129610	2025 Mar	Mouse
40123999	2025 Mar	Mouse
40113744	2025 Mar 20	Mouse
40110405	2025 Apr	Mouse
40104642	2025 Apr	Mouse
40102704	2025 Aug	Mouse
40097410	2025 Mar 17	Mouse
40096748	2025 Mar 26	Mouse
40094857	2025 Mar 26	Mouse
40093804	2025	Mouse
40090277	2025 May	Mouse
40087281	2025 Mar 14	Mouse
40087276	2025 Mar 14	Mouse
40082721	2025 Aug	Mouse
40081708	2025 May	Mouse
40080941	2025 Mar 15	Mouse
40073810	2025 Apr 16	Mouse
40072052	2025 Feb 20	Mouse
40069162	2025 Mar 12	Mouse
40060537	2025 Feb 24	Mouse
40060529	2025 Feb 28	Mouse
40055825	2025 Mar 7	Mouse
40054376	2025 Sep	Mouse
40047894	2025 Mar 6	Mouse
40045641	2025 Apr	Mouse
40045368	2025 Mar 5	Mouse
40042438	2025 Apr	Mouse
40040621	2025 Apr	Mouse
40035483	2025 Oct	Mouse
40026169	2025 Mar 12	Mouse
40025588	2025 Mar 3	Mouse
40025171	2025 Mar	Mouse
40022220	2025 Feb 28	Mouse
40020990	2025 Feb 26	Mouse
40020627	2025 Apr	Mouse
40020461	2025 Apr 4	Mouse
40016770	2025 Feb 27	Mouse
40016267	2025 Feb 27	Mouse
40013941	2025 Apr	Mouse
40013619	2025 Jul	Mouse
40011919	2025 Feb 26	Mouse
40008494	2025 Feb	Mouse
40001168	2025 Feb 25	Mouse
40000838	2025 Feb 25	Mouse
39998739	2025 Feb 25	Mouse
39991826	2025 May 24	Mouse
39991659	2025	Mouse
39990659	2025	Mouse
39984079	2025 May	Mouse
39983344	2025 Apr	Mouse
39978573	2025 May	Mouse
39975211	2025 Feb 7	Mouse
39973552	2025 Feb	Mouse
39973340	2025 Feb 20	Mouse
39969512	2025 Feb 19	Mouse
39964979	2025	Mouse
39960544	2025 Feb 5	Mouse
39959649	2025	Mouse
39955869	2025 Feb	Mouse
39955730	2025 Apr	Mouse
39953712	2025 May	Mouse
39953605	2025 Feb 14	Mouse
39952346	2025 May	Mouse
39952199	2025 Apr	Mouse
39948108	2025 Feb 13	Mouse
39947509	2025 May	Mouse
39940649	2025 Jan 21	Mouse
39936984	2025 Jan 28	Mouse
39933417	2025 Mar	Mouse
39928137	2025 Feb 10	Mouse
39927476	2025 Apr	Mouse
39927459	2025 Feb 10	Mouse
39922237	2025 Apr 1	Mouse
39921035	2025 Apr 10	Mouse
39919897	2025 Feb	Mouse
39914283	2025 Mar 6	Mouse
39910066	2025 Feb 6	Mouse
39904988	2025 Feb 5	Mouse
39904978	2025 Feb 4	Mouse
39902346	2025	Mouse
39899451	2025 Feb 18	Mouse
39895981	2025	Mouse
39895864	2025 Jan	Mouse
39895575	2025 May	Mouse
39894827	2025 Feb	Mouse
39894691	2025 Jul	Mouse
39894170	2025 Mar	Mouse
39880042	2025 Mar 10	Mouse
39877352	2024	Mouse
39873724	2025 Mar	Mouse
39865089	2025 Jan 26	Mouse
39864914	2025 Feb	Mouse
39859298	2025 Jan 11	Mouse
39859264	2025 Jan 10	Mouse
39855426	2025 Mar	Mouse
39855425	2025 Mar	Mouse
39855042	2025 Feb 16	Mouse
39853943	2025 Jan	Mouse
39853717	2025 Mar	Mouse
39851510	2025 Jan 9	Mouse
39847187	2025 Oct	Mouse
39844325	2025 Jan 22	Mouse
39844298	2025 Jan 22	Mouse
39842659	2025 Apr	Mouse
39840543	2025 Mar	Mouse
39840483	2025 Mar	Mouse
39840130	2024	Mouse
39835597	2024 Dec 17	Mouse
39835169	2025 Mar	Mouse
39833570	2025 May	Mouse
39829021	2025 Feb 4	Mouse
39827311	2025 Jan 18	Mouse
39823538	2025 Mar	Mouse
39820791	2025 Jan	Mouse
39820104	2025	Mouse
39820028	2025 Jan 16	Mouse
39819042	2025 Feb 1	Mouse
39815302	2025 Jan 16	Mouse
39814287	2025 Apr	Mouse
39811690	2025 Mar	Mouse
39811464	2025 Apr	Mouse
39809361	2025 Nov	Mouse
39808971	2025 Mar 5	Mouse
39806427	2025 Jan 13	Mouse
39805173	2025 Feb 6	Mouse
39804978	2025 Mar	Mouse
39801258	2025 Apr	Mouse
39799877	2025 Feb	Mouse
39798244	2025 Jun	Mouse
39794700	2025 Jan 10	Mouse
39792653	2025 Mar	Mouse
39787690	2025 Feb	Mouse
39786573	2025 May	Mouse
39786170	2025 Jan 15	Mouse
39780612	2025 Feb	Mouse
39776592	2024 Dec	Mouse
39773289	2025 Jan 7	Mouse
39771485	2024 Nov 22	Mouse
39769163	2024 Dec 13	Mouse
39766213	2024 Nov 26	Mouse
39765309	2025 Feb 1	Mouse
39764993	2025 Feb 6	Mouse
39762209	2025 Jan 7	Mouse
39757463	2025 Feb	Mouse
39755936	2025 Feb	Mouse
39755166	2025 Mar	Mouse
39752388	2025	Mouse
39746943	2025 Jan 2	Mouse
39746903	2025 Jan 2	Mouse
39745919	2025 Jun	Mouse
39744759	2025 Feb	Mouse
39742533	2025 Apr	Mouse
39738432	2024 Dec 30	Mouse
39738099	2024 Dec 30	Mouse
39731281	2025 Jan	Mouse
39730094	2025 Apr	Mouse
39727570	2024 Dec 10	Mouse
39726016	2024 Dec 26	Mouse
39721037	2025 Mar	Mouse
39718827	2024 Dec 24	Mouse
39717946	2025 Mar	Mouse
39717596	2024 Dec 15	Mouse
39713898	2025 Feb	Mouse
39713453	2024 Dec 13	Mouse
39709528	2024 Dec 22	Mouse
39707543	2024 Dec 20	Mouse
39707367	2024 Dec 20	Mouse
39706287	2025 Feb	Mouse
39706062	2025 Jan	Mouse
39703140	2025 Apr	Mouse
39694343	2025 Mar	Mouse
39693952	2025 Jan 27	Mouse
39692948	2024 Dec 18	Mouse
39692282	2025 Mar 1	Mouse
39687801	2024 Dec	Mouse
39687299	2024	Mouse
39687146	2024 Dec 15	Mouse
39680708	2025 Feb	Mouse
39674342	2025 Jan	Mouse
39673685	2025 Mar	Mouse
39666251	2024 Dec 12	Mouse
39664429	2024 Nov	Mouse
39662267	2025 Jan 3	Mouse
39661058	2024 Dec 17	Mouse
39659898	2025 Jan	Mouse
39647219	2025 May	Mouse
39639386	2024 Dec 5	Mouse
39639339	2024 Dec 5	Mouse
39638118	2025 Apr	Mouse
39629050	2024	Mouse
39628956	2024	Mouse
39622432	2025 Apr	Mouse
39619871	2024 Nov 26	Mouse
39617790	2024 Dec	Mouse
39617202	2025 Mar	Mouse
39617085	2025 Jan 31	Mouse
39616734	2025 Jan	Mouse
39615215	2025 Jan	Mouse
39608176	2025 Jan 10	Mouse
39608050	2024 Dec 31	Mouse
39604981	2024 Nov 27	Mouse
39600372	2024	Mouse
39596012	2024 Nov 6	Mouse
39592517	2025 Jun	Mouse
39592076	2025 Jan 13	Mouse
39589827	2024 Nov 26	Mouse
39586750	2024 Oct 6	Mouse
39582573	2024	Mouse
39580858	2025 Jan 10	Mouse
39578202	2025 Jan	Mouse
39578049	2024 Nov 22	Mouse
39577362	2025 Feb	Mouse
39574959	2024	Mouse
39574483	2024 Dec	Mouse
39572599	2024 Nov 21	Mouse
39569601	2024 Dec	Mouse
39564812	2024 Nov 20	Mouse
39560314	2025 Mar	Mouse
39558161	2025 Jan 6	Mouse
39556697	2024 Dec	Mouse
39554166	2024 Nov 1	Mouse
39536879	2024 Dec	Mouse
39533432	2024 Nov 12	Mouse
39533324	2024 Nov 12	Mouse
39531048	2025 Jan	Mouse
39527654	2024 Nov	Mouse
39521431	2025 Sep	Mouse
39514126	2024 Nov 8	Mouse
39512844	2024 Nov	Mouse
39510846	2024 Dec	Mouse
39510640	2024 Nov	Mouse
39505144	2025 Sep	Mouse
39498503	2024 Dec 31	Mouse
39498143	2024 Nov	Mouse
39495906	2024 Dec	Mouse
39494399	2024 Dec	Mouse
39491137	2023 Oct 27	Mouse
39483974	2024 Jan-Dec	Mouse
39488239	2025 Jan	Mouse
39486995	2025 Jan 1	Mouse
39482250	2025 Mar	Mouse
39479450	2024	Mouse
39472658	2024 Nov	Mouse
39472618	2024 Oct 29	Mouse
39471714	2025 Apr	Mouse
39469810	2024 Oct 29	Mouse
39469313	2024 Dec	Mouse
39456041	2024 Oct 26	Mouse
39454680	2024 Jan-Dec	Mouse
39454503	2025 Mar	Mouse
39448593	2024 Oct 24	Mouse
39448001	2025 Jan	Mouse
39447781	2024 Dec	Mouse
39444399	2024 Oct 15	Mouse
39443554	2024 Oct 23	Mouse
39442872	2025 Aug	Mouse
39438569	2024 Oct 22	Mouse
39434351	2024 Oct	Mouse
39433168	2024 Nov	Mouse
39432678	2025 May 1	Mouse
39430133	2024 Nov	Mouse
39427765	2024 Dec	Mouse
39426787	2025 Feb	Mouse
39426230	2024 Dec 25	Mouse
39419437	2025 Feb	Mouse
39416169	2024 Oct 7	Mouse
39414788	2024 Oct 16	Mouse
39413302	2024 Nov 11	Mouse
39411061	2024	Mouse
39408977	2024 Oct 3	Mouse
39407273	2024 Oct 15	Mouse
39403980	2024 Oct 29	Mouse
39402771	2025 Jan	Mouse
39401356	2024 Oct 22	Mouse
39401064	2024 Oct 14	Mouse
39400124	2024 Nov	Mouse
39399840	2025 Jan	Mouse
39396655	2024 Dec 5	Mouse
39396563	2024 Dec	Mouse
39389988	2024 Oct 10	Mouse
39388895	2024 Dec 25	Mouse
39388890	2024 Dec 25	Mouse
39383631	2024 Dec	Mouse
39378706	2025 Jan	Mouse
39378655	2024 Dec 25	Mouse
39376016	2024 Dec	Mouse
39370072	2024 Nov	Mouse
39368343	2024 Dec	Mouse
39366498	2025 Jan 30	Mouse
39363784	2024 Nov	Mouse
39363112	2024 Oct	Mouse
39356214	2024 Nov 6	Mouse
39351827	2024 Dec	Mouse
39351165	2024	Mouse
39351091	2024	Mouse
39350476	2024 Oct	Mouse
39346538	2024	Mouse
39345152	2024 Sep 13	Mouse
39344168	2025 Jan	Mouse
39343238	2025 Jan	Mouse
39342461	2025 Jan	Mouse
39342326	2024 Sep 28	Mouse
39330704	2024 Oct 9	Mouse
39326362	2025 Mar	Mouse
39326131	2024 Dec	Mouse
39323636	2024	Mouse
39322043	2024 Nov	Mouse
39321708	2024 Dec 5	Mouse
39318150	2024 Dec	Mouse
39314058	2024 Oct 1	Mouse
39313038	2025 Jan	Mouse
39307297	2024 Dec	Mouse
39305580	2024 Nov-Dec	Mouse
39298571	2024 Oct 29	Mouse
39288630	2024 Dec 5	Mouse
39284778	2024 Dec	Mouse
39282962	2024 Sep 25	Mouse
39280634	2024 Sep	Mouse
39276449	2024 Dec 5	Mouse
39273553	2024 Sep 4	Mouse
39262222	2025 Feb	Mouse
39261846	2024 Sep 11	Mouse
39261080	2025 Jul 9	Mouse
39260332	2024 Nov 26	Mouse
39251394	2024 Sep	Mouse
39251145	2025 Jan	Mouse
39251054	2024 Dec	Mouse
39248388	2024 Nov	Mouse
39247402	2024 Oct	Mouse
39236007	2024	Mouse
39231947	2024 Sep 4	Mouse
39231936	2024 Sep 4	Mouse
39229102	2024 Aug 19	Mouse
39228264	2024 Sep	Mouse
39225479	2024 Sep 18	Mouse
39225365	2024 Sep 15	Mouse
39224514	2024 Sep 20	Mouse
39221886	2024 Sep	Mouse
39220257	2024 Sep 20	Mouse
39218203	2024 Dec	Mouse
39217884	2024 Dec 5	Mouse
39217430	2025 Mar 7	Mouse
39217193	2024 Aug 31	Mouse
39209246	2024 Dec	Mouse
39208260	2024	Mouse
39206714	2024 Nov	Mouse
39204339	2024 Jul 26	Mouse
39199189	2024 Aug 2	Mouse
39199188	2024 Aug 2	Mouse
39196784	2024 Aug 28	Mouse
39192268	2024 Aug 27	Mouse
39191890	2024 Aug 27	Mouse
39191723	2024 Aug 27	Mouse
39190086	2025 Jan	Mouse
39188023	2024 Oct	Mouse
39180608	2024 Nov	Mouse
39179013	2024 Nov	Mouse
39175261	2024 Aug	Mouse
39173720	2024 Oct	Mouse
39172956	2024	Mouse
39169784	2024	Mouse
39164798	2024 Aug	Mouse
39159565	2024 Nov 15	Mouse
39159149	2024 Aug	Mouse
39155382	2024 Aug 18	Mouse
39153567	2025 Jan	Mouse
39143134	2024 Aug 14	Mouse
39135543	2024 Sep 16	Mouse
39135294	2024 Dec	Mouse
39134394	2024 Nov 14	Mouse
39133964	2024 Sep	Mouse
39130448	2024 Jul 30	Mouse
39129277	2024 Oct	Mouse
39126921	2024 Oct	Mouse
39125316	2024 Jul 26	Mouse
39122063	2024 Oct	Mouse
39121926	2024 Dec 5	Mouse
39120281	2024 Jul 25	Mouse
39116410	2024 Jan-Dec	Mouse
39111145	2024 Oct 25	Mouse
39108841	2024 Sep	Mouse
39107784	2024 Aug 6	Mouse
39106443	2025 Jan 1	Mouse
