PMID	PubDate
38928219	2024 Jun 13
38924533	2024 Nov
38900226	2024 Sep
38877353	2024 Aug
38849876	2024 Jun 8
38822418	2024 May 31
38811966	2024 May 30
38767630	2024 Jun
38657788	2025 Mar-Apr
38639204	2024 Dec
38602270	2024 Apr
38583525	2024 Aug
38554890	2024 Apr 15
38548121	2024 Jun 28
38527988	2024 Jan-Mar
38525935	2025 Dec
38509852	2024 Jun
38504085	2024 Apr
38496031	2024 Jun
38490726	2024 May 1
38466626	2024 Mar 11
38430019	2024 Feb 29
38415672	2024 Mar
38384563	2024 Feb 29
38363057	2024 May
38283982	2024 Feb
38206679	2024 Apr 1
38192148	2024
38164676	2024 Jan
38156057	2023 Dec
38078617	2023 Nov 21
38058072	2023 Dec
38031520	2023 Nov
37984909	2023 Nov 25
37937094	2023 Nov
37930003	2023 Oct 20
37874329	2024 Apr
37867636	2023 Oct 17
37859690	2024 Feb
37841358	2023 Oct
37822586	2023 Nov
37802985	2023 Oct 6
37797606	2023 Oct 18
37762430	2023 Sep 15
37708238	2023
37701494	2023
37694883	2024 Feb
37685986	2023 Aug 24
37683603	2023 Sep 7
37677036	2023 Aug 25
37660361	2024 May
37638205	2023
37589243	2023 Sep
37533971	2023
37528751	2023 Sep
37482815	2023 Nov 28
37477775	2023 Oct
37454258	2023 Aug
37435308	2023
37425368	2023
37403648	2023 Aug
37326631	2024 Jun
37256203	2023
37237645	2023 May 10
37229212	2023 Jun
37143133	2023 May 4
37082688	2023 Mar 31
37065652	2023
37065219	2023
37036937	2023 Aug 1
37005948	2023 Aug
36942663	2023 Oct
36939962	2023 Dec
36933246	2023 May
36919160	2023
36896417	2023 Apr
36895264	2023 Aug
36892223	2024 Apr
36891610	2023 Dec
36863142	2023 Apr
36830586	2023 Jan 22
36810435	2023 Apr 11
36806251	2023 Feb 20
36805735	2023 Feb 21
36769037	2023 Feb 1
36755334	2023 Apr
36647547	2023 Mar
36605767	2022
36573287	2023 Feb
36562983	2023 Feb
36475290	2022 Jun
36465935	2022
36444115	2023 Mar
36437834	2022
39282499	2022
36436354	2023 Jan-Mar
36435438	2023 Feb
36400827	2022 Nov 18
36396950	2022 Nov 17
36381245	2023 Jan
36342311	2022 Nov
36337189	2022
36318365	2022 Dec
36230897	2022 Sep 20
36188596	2022
36122351	2022 Oct
36100947	2022 Sep 14
36093403	2022
36089087	2022 Nov 30
36072990	2022 Jul-Sep
36054172	2023 Mar
36045373	2022 Aug 31
36036756	2022 Aug 24
36004407	2022 Jul-Sep
35981680	2022 Nov 1
35972962	2022 Aug 23
35962413	2022 Aug 12
35942132	2022
35932304	2023 Jan
35931836	2022 Dec
35910465	2022
35900609	2022 Jul 28
35810237	2022 Jul 9
35802206	2022 Sep
35711630	2022
35702092	2022
35681865	2022 May 30
35623463	2022 Jul 31
35611765	2022 May
35610008	2022 Jun
35578319	2022 May 16
35551975	2022 Aug 10
35529473	2022
35488351	2022 Apr 29
35469160	2022
35457148	2022 Apr 14
35427733	2022 Jul 1
35416068	2022 Jun
35344713	2022 Jun
35305656	2022 Mar 19
35289232	2022 Mar
35259590	2022 Apr 30
35228907	2022
35219139	2022 Apr
35218985	2022 May
35179308	2022 Apr
35095776	2021
35057081	2022 Jan 13
35032910	2022 Feb
35028785	2022 Feb
35023025	2022 Feb
35020409	2022 Jan 12
35017095	2022 Jun
35012034	2021 Dec 21
34981507	2022 Jun
34960976	2021 Dec 16
34939393	2021 Dec
34932655	2021
34905737	2021 Dec 31
34886755	2022 Jun
34876212	2021 Dec 8
34863246	2021 Dec 4
34861782	2021 Dec
34848799	2021 Nov 30
34848747	2021 Nov 30
34802259	2021 Dec
34786041	2021
34751734	2022 Apr 1
34749769	2021 Nov 8
34736242	2021 Nov 19
34721588	2021
34706537	2021 Nov 24
34670390	2022 Feb
34666502	2021 Oct
34666200	2022 May
34626310	2021 Nov
34610749	2022 May
34590154	2021 Dec
34582032	2021 Sep 28
34533814	2021 Sep
34528913	2021 Oct 28
34515572	2022 Mar
34509913	2021 Nov 9
34422071	2021
34421630	2021
34421623	2021
34355626	2022 Jul
34340598	2021 Dec
34336354	2021
34335838	2021
34335042	2021
34206900	2021 Jun 26
34201327	2021 Jun 8
34181201	2021 Aug
34145810	2021
34144542	2021 Jul 13
34078931	2021 Jun 2
34061360	2022 Apr
34049110	2021 Jul
33969044	2021
33933140	2021 May 1
33927645	2021
33914354	2021 Aug
33874948	2021 Apr 19
33857741	2021 Jun
33843153	2021 Jul
33829012	2021
33818795	2021 May
33812379	2021 Apr 3
33782948	2021 Aug
33774341	2021 May
33737085	2021 Jun 15
33708990	2021
33706812	2021 Mar 12
33691527	2021 Sep
33652170	2021 May
33628096	2021
33621866	2021 May
33594314	2021
33593365	2021 Feb 16
33580730	2021 Dec
33580529	2021 Dec
33533202	2021 Apr
33526743	2020 Dec
33469783	2021 Aug
33466246	2021 Jan 5
33464397	2022 Mar
33463160	2020 Jun 8
33455260	2020 Sep 14
33437629	2021 Jan
33432584	2021 Jun
33426205	2020 Dec
33424189	2021 Jan-Feb
33407870	2021 Jan 6
33398932	2021 Feb
33392807	2021 Jul
33382341	2021 Jan
33356729	2021 Mar
33270961	2021 Mar 22
33254972	2021 Jan
33240955	2020
33224251	2020
33224204	2020
33217001	2021 Jan
33102504	2020
33076883	2020 Oct 19
33014527	2020 Oct
32925989	2020 Sep 14
32843582	2020 Dec 1
32841203	2020 Jun
32824442	2020 Aug 17
32824204	2020 Aug 15
32802182	2020
32774019	2020 Jul
32765756	2020 Sep
32764579	2020 Aug 6
32763434	2020 Nov 10
32747064	2020 Aug
32713662	2020 Dec
32706497	2020 Oct
32590144	2020 Aug
32561472	2020 Sep 1
32556386	2021 Feb
32435676	2020 Jun
32435673	2020 Jun
32433520	2020 May 20
32426059	2020 Jun
32394696	2020 May 20
32351784	2020
32348838	2020 Jul 15
32308770	2020
32294140	2020
32281500	2020 Dec
32235804	2020 Mar 22
32216270	2020 Apr 21
32201950	2020 Jun
32186046	2019 Apr
32138842	2020 Feb
32129515	2020 Sep
32129514	2020 Dec
32112264	2020 Jun
32099804	2020 Mar
32070117	2021 Dec
32060941	2020 Nov
32003441	2020
31988026	2020 Jun
31918209	2020 Mar
31888697	2019 Dec 30
31875872	2019 Dec 26
31844612	2019 Oct
31840428	2020 Feb
31838140	2020 Feb
31819923	2019
31814923	2019 Dec
31799697	2020 May
31764352	2019 Dec
31740016	2020 Jan 2
31726172	2020 Mar 1
31711715	2020 Feb
31695255	2019 Oct
31681730	2019
31629102	2020 Feb
33464061	2019 Oct 14
31587011	2019 Oct 6
31578839	2021 Jun
31565788	2020
31554894	2019 Sep 25
31553428	2019 Sep 6
31542485	2019 Nov 15
31521691	2020 Jan 1
31520482	2020 Feb
31511072	2019 Sep 12
31500751	2019 Sep
31492126	2019 Sep 6
31475944	2019 Sep 1
31474179	2019 Aug
31466462	2021 Dec
31419488	2019 Dec
31389579	2019 Aug
31384819	2019 Dec
31374866	2019 Aug 1
31369700	2020 Apr
31355276	2019
31316574	2019
31312686	2019 May
31298359	2019 Jun
31287023	2019 Jul 8
31256666	2019 Jul
31207966	2019 Jun 14
31183123	2019 Apr
31168540	2019 Aug 1
31150275	2019 Jul
31146351	2019 May 29
31146014	2019 Sep
31134817	2020 Mar
31131046	2019
31128080	2019 Nov
31095777	2019 Sep
31062604	2019 Dec
31051241	2019 Aug
31044415	2019 May 2
31010247	2019 Apr 19
30977542	2019 Aug
30923232	2019 Jun
30885225	2019 Mar 18
30871292	2019 Mar 1
30858696	2019
30841560	2019 Mar 5
30820353	2019
30795769	2019 Feb 22
30783864	2019 Mar
30705526	2019 Jan-Feb
30671145	2019 Jan-Dec
30656598	2019 Sep
30651759	2019 Jan
30644773	2019 Sep
30626725	2019 Jan 31
30609097	2019 May
30606638	2019 Feb
30603587	2018 Oct
30603567	2018 Aug
30596714	2018
30592265	2019 Mar
30542421	2018 Dec
30519936	2019 Jun
30519575	2018
30507075	2018 Dec.
30486657	2021 Apr
30480335	2019 Feb
30464073	2018 Nov 1
30430453	2019 Feb
30429885	2018
30415972	2019 Jan
30378173	2019 Jun
30280200	2018 Dec
30275684	2018
30261492	2018
30258570	2018 Aug
30220711	2018
30210670	2018
30110088	2018 Aug 13
30104576	2018 Aug 13
30093946	2018
30093011	2018 Oct 15
30069445	2018 Jun
30055642	2018 Jul 28
30046312	2018
30033246	2018 Oct 1
29944927	2018 Oct
29923522	2018 Mar
29901017	2018 Mar
29892579	2018 May-Jun
29878993	2018 Sep
29861524	2018 Jan-Feb
29845461	2018 Sep
29794403	2018 Aug 1
29789008	2018 May 22
29781506	2018 Nov
29725360	2018 May
29694389	2018
29684624	2018 Jun
29682561	2018
29656239	2018 Jul
29637484	2018 Aug
29604245	2018 Jun 5
29581742	2018 Apr
29557244	2018 Nov
29556366	2018
29549951	2018 Jun 1
29543781	2018 Mar 15
29534754	2018 Mar 13
29534084	2018
29524675	2018 Apr 15
29523155	2018 Mar 9
29522657	2018 Jun
29493355	2018 Mar
29477035	2018 Apr
35539110	2018 Feb 14
29438883	2018 Apr
29393693	2018
29359666	2018
29357891	2018 Jan 22
29291543	2018 Feb
29285104	2017 Dec
29263013	2018 Jan
29257344	2018 Mar
29233641	2018 Mar
29205898	2018 Mar
29205258	2017 Dec 5
29201194	2017 Nov
29191221	2017 Dec 1
29171968	2017
29150268	2017 Nov
29108480	2018 Feb
29104661	2017 Nov
29093428	2018 May 10
29056291	2017 Nov 7
29017608	2017 Oct 10
28951745	2017
28923043	2017 Sep 18
28892260	2017 Dec
28890259	2017 Nov
28815179	2017
28810851	2017 Aug 15
28757192	2017 Oct 15
28730231	2017
28715494	2017
28688215	2018 Jan
28662337	2017 Dec
28647468	2017 Oct
28619022	2017 Jun 15
28599103	2018 Mar
28587374	2017 Jun
31682385	2017 Jun
28554494	2017 Jun 14
28542897	2017 Jul
30970861	2017 May 20
28520463	2017 Aug
28508006	2017 Apr
28504144	2017 Aug 1
28420082	2017 Apr 14
28362543	2017 Jun
28339018	2017 May
28325340	2017 May 15
28318324	2017
28303595	2017 Nov
28297568	2017 Mar
28284999	2017 Aug
28280413	2017 Mar
28278383	2017 Jun
28133485	2017
28102161	2016 Oct 28
28097685	2017 Sep
28066137	2017 Jan
28025555	2016 Dec 23
27994917	2016 Nov
27925221	2017 Oct
27909553	2016 Dec
27908544	2017 Jan
27908189	2016 Dec
27904047	2016
27876074	2016 Nov 22
27845067	2017 Jan 5
27825604	2016 Dec 8
27686453	2016 Dec
27793538	2016 Dec
27789339	2017 Apr
27756698	2017 Apr
27756901	2016 Oct 19
27650754	2016 Nov
27485850	2016 Nov
27737345	2016 Sep
27709418	2017 Feb
27706690	2016 Sep 2
27698707	2016 Oct
27662821	2017 Feb
27640363	2016 Sep 19
27543842	2017 Jan
27475840	2016 Aug 15
27454655	2016 Oct 4
27430254	2016 Sep
27321049	2016 Sep
27301478	2016 Jun
27279147	2017 Mar
27266646	2016 Oct
27178054	2016 Dec
27173350	2016 May 9
27142133	2016 Jun
27129040	2017 Mar
27114801	2016 Mar
27109206	2016 Jun
27086145	2016 Apr 17
27069407	2015 Mar-Apr
27063559	2016 Jul 25
27060082	2016 Sep
27052304	2016 Apr 6
27039182	2016 Apr 1
27017891	2016 Jun 17
27003736	2016 Oct
26945831	2016 May
26937219	2016 Mar
26936196	2017 Apr
26915044	2016
26902085	2016 Mar 1
26898767	2016 Jun
26898122	2016 Mar 15
26884921	2015
26873249	2016 Apr
26872897	2016 Jun
26871903	2016
26864066	2016 Feb 11
26851252	2016 Apr
26850822	2016 Jun
26844597	2016 Feb 4
26838881	2016 Apr 1
26808542	2016
26806976	2015 Nov-Dec
26771387	2016
26706677	2015 Dec
26704447	2016 Jan
26703073	2015 Dec 24
26622502	2015 Oct
26617688	2015
26600478	2015 Nov 13
26589614	2015 Aug 25
26585246	2015 Nov 19
26576262	2015
26573557	2016 Jan
26560133	2015 Nov 12
26550441	2015
26538834	2015
26535700	2015 Oct 30
26485068	2016 Mar
26403700	2016 Jan
26396170	2015 Nov
26395917	2015 Dec
26369477	2015 Oct
26336958	2015 Sep 3
26336584	2015 Sep
26321377	2016 Feb
30035060	2015 Oct
26275694	2015 Summer
26256195	2015 Oct 20
26247612	2016 Jan
26239837	2015 Aug 4
26228537	2015 Jul 31
26194917	2016 Feb
26159056	2015 Sep 18
26147652	2015 Dec
26135886	2015 Jul 2
26135713	2015 Dec
26117694	2015 Oct
26108147	2015 Dec
26079860	2015
26045743	2015
26033998	2015 May
26028140	2015 Oct
26023716	2015 May 27
25986068	2015 May 20
25967971	2015
25957254	2015 Jul
25934426	2015 Jul 25
25932159	2015
25889371	2015 Sep
25889158	2015 Feb 26
25884951	2015
25846264	2015 Jul
25835759	2015 Aug
25824985	2015 Jul
25820864	2015 Sep
25818452	2015 Jun
25815520	2015 Jul
25776872	2015 Jun 1
25754287	2015 Jun
25736607	2015 Jun
25725391	2015 Jul
25712888	2015 Jun
25666331	2015 Apr 10
25608048	2015 Sep
25592743	2015 Jan 16
25573797	2015 Apr
25569085	2015 Jan 5
25541697	2014
25523754	2015 Jan 21
25496568	2014 Dec 11
25479166	2015 Mar
25471680	2014
25463442	2015 Mar
25450842	2015 Feb
25445302	2015 Feb
25438155	2014
25435376	2015 Feb
25398806	2014 Nov-Dec
25398247	2014 Nov 15
25385442	2015 Feb
25381135	2014
25377946	2014 Nov 6
25356168	2014
25350566	2015 Aug
25287683	2014 Nov
25283343	2015 Feb
25278055	2014 Oct
25230745	2014 Sep 18
25219668	2015 Jan
25192881	2014 Sep 6
25187381	2014 Nov
25153804	2014 Nov
25151083	2014 Nov
25125266	2014 Dec
25123228	2014 Aug 14
25120312	2014 Aug
25106675	2014 Nov
25087069	2014 Oct
25081415	2014 Nov
25065588	2014 Nov
25009705	2014 May
25009597	2014 Aug
25008204	2014 Sep
25001340	2014 Sep
24974007	2014 Sep
24965503	2017 Feb
24916718	2014 Aug
24909758	2014 Sep
24890034	2014 Nov
24853775	2015 Jan
24837189	2014 Aug 10
24819118	2014
24810823	2014 May
24797570	2014 Aug
24792209	2014 Jun
24769230	2014 Jun
24766775	2014 Apr 26
24749144	2014 Jul
24748433	2014
24742749	2014 Jul
24729965	2014
24720858	2014 Apr
24703827	2014 May
24697299	2014 Jul
24662735	2014 Jun
24655056	2014 Sep
24632762	2014
24613214	2014 Jun
24586815	2014
24526748	2014
24481743	2014 May
24465137	2013 Feb 12
24392152	2014
24384406	2014 Feb 5
26229774	2014 Jan-Feb
24375646	2014 Apr
24361795	2014 Feb
31304164	2013 Nov-Dec
24239096	2014 Feb
24237934	2014 Jan
24195351	2013 Apr
24185110	2014 Jan
24111862	2013 Oct
24108064	2014 May
24084720	2013 Sep 30
24071980	2013 Sep 25
24016823	2013 Nov 1
24007463	2013 Sep 5
23983790	2013
23973917	2013 Nov
23927932	2013 Oct
23846837	2013 Oct
23843355	2013 Oct
23843150	2013 Oct
23792272	2013 Oct
23728192	2013 May 21
23701865	2013 Jun
23680875	2013 Aug
23646806	2013 Jan
23634175	2013
23611900	2013 Jul
23603083	2013 Jul
23574696	2013 Apr 10
23564690	2013 Oct
23550192	2013 Jan
23533523	2013
23523903	2013 Jul
23523901	2013 Jun
23521980	2013 Mar 20
23519019	2013 Jun
23461527	2013 Jul 15
23433227	2013 Feb 22
23423824	2013 Jun
23389746	2013 Apr
23360790	2013 Jan 29
23353669	2013 Apr
23353668	2013 Apr
23339021	2013 Sep
23335181	2013 Jun
23312211	2013 Feb
23267848	2013 Mar
23257243	2013 Mar
23247212	2013 Mar
23194887	2013 Jan 30
23183190	2013
23160848	2014 Jan
23154419	2013 May 2
23085002	2013 Mar
23074702	2012
23025929	2013 Jan
26069642	2012 Oct
22977770	2012 Aug
22976595	2012 Nov
22971527	2013 May 2
22967750	2012 Sep 28
22947279	2012 Dec
22935787	2012 Dec
22917745	2012 Dec
22903188	2013 Jan
22882937	2012 Jul
22877818	2012 Dec
22865437	2011 Nov 14
22846713	2012 Nov
22827787	2012 Aug
22825641	2012 Nov
22821055	2013 Mar
22818981	2012 Oct
22818426	2013 Apr
22809835	2012 Nov
22781206	2012 Oct
22771776	2012 Oct
22765310	2012 Oct
22763343	2013 Apr
22763137	2013 Feb
22759953	2012
22750746	2012 Oct
24750874	2012 Jul 1
22739214	2012
22737537	2011 Sep
22709525	2012 Jun 18
22668504	2012 Aug 1
22645088	2012 May
22636321	2012 Aug
22611500	2012
22581309	2012 Aug
22528855	2012 Nov
22528754	2013 Jun
22507555	2012 Oct
22490585	2012 Mar
22484689	2012 Jun
22474519	2012
22466300	2011 Aug
22462241	2011 Dec
22438217	2013 Sep
22435714	2012 Aug
22429866	2012 Sep
22405078	2012 Mar 10
22392368	2012 May
22353745	2012 Jun
22344562	2012 Sep
22337466	2012 Jan
22333731	2012 May
22330350	2011 Oct
22314877	2012 Jan 31
22298781	2012 Apr 6
22288847	2012
22215151	2012 Jun
26069620	2012 Jan
24977073	2012
22184086	2011 Dec 19
22179032	2012 Feb
22167163	2012 Dec
22142024	2012 May
22119214	2012 Mar 1
22102374	2012 Feb
22081995	2012 May
22081300	2012 Jul
22071698	2011 Nov 9
22071411	2012 Feb
22018423	2012 Mar
21963244	2012 Aug
26069596	2011 Oct
21914215	2011
21911044	2011 Nov 28
21895501	2011 Oct
21889876	2011 Dec
21885247	2011 Nov
21881990	2012 Sep
21853458	2012 Mar
21843651	2011 Dec
21820069	2011 Oct
21808721	2011
21792361	2011
21750784	2011
21750530	2011 Jul 12
21697093	2011 Aug 12
21674547	2011 Jul
21674258	2011 Aug
21658899	2011 Jun
21633723	2011
21624651	2011 Sep
21571083	2011 Jul
21567132	2011 Nov
21471417	2011 Apr 6
21462250	2011 Oct
21445980	2011 Sep
21437949	2011 May
21415641	2011 Mar
21397547	2011 Dec
21350959	2011 Dec
21343686	2010
21334177	2011 Jun
21327438	2012 Jun
21325780	2011
21305336	2011 Dec
21287781	2010 Dec
21284047	2011 Aug
21258522	2010 Sep 20
21188382	2012 Mar
21152323	2010 Oct 21
21144162	2011
21141677	2010 Sep
21127340	2010 Dec
21104136	2011 Jun
21089182	2011 Jun
21075020	2011 Feb
21067936	2011 Jul
21063883	2011 Jun
21056352	2010 Nov
21055904	2011 Feb
21044693	2011 Jan
21035559	2011 Jan
20951230	2011 Jan
20886656	2011 Mar
20886647	2011 Mar
20864020	2010 Oct
20872588	2010 Nov
20863825	2010 Dec 15
20863650	2010 Sep 21
20861497	2011 Nov
20851201	2010 Dec
20733349	2010 Oct 31
20686209	2010 Aug
20683842	2011 Mar
20678201	2010
20633683	2010 Sep
20633668	2010 Oct
20591677	2011 Mar
20522967	2010
20495569	2010 Jun
20488444	2010 Aug 26
20436717	2010 May
20434575	2010 Jul
27022552	2010 May-Jun
20420676	2010 Apr 26
20407800	2010 Oct
20399901	2010 Jun
20399435	2010 Jun 18
20390279	2011 Oct
20354742	2010 Nov
20237852	2010 Dec
20225288	2010 Oct
20148096	2010 Jan 19
20089151	2010 Jan 20
20046426	2009 Dec 31
20010383	2009 Dec 15
20001938	2009
19997826	2009 Nov
19995451	2009 Dec 8
19941998	2010 Mar
19937913	2010 Feb
19933220	2010 Jun 6
19877289	2010 Apr
19796724	2009 Oct
19725096	2010 Feb
19716503	2009 Sep
19656083	2009 Oct 12
19655297	2010 Apr
22495600	2009 Aug
19644873	2009 Aug
19622607	2009 Sep 1
19621423	2010 Jan
19619632	2009 Sep 7
19615962	2009 Dec
19589338	2009 Oct
19577765	2010 Dec
19499299	2009 May
19473558	2009 Mar-Apr
19447215	2009 Nov
19427403	2009 Sep
19379726	2009 Jun 24
19357845	2010 Sep
19293161	2010 Feb
19249964	2009 Dec
19242978	2009 Sep
19226011	2008 Oct
19152788	2009 Jul
19139060	2009 Mar
19136500	2010 Sep
19128988	2009 Jun
19100343	2009 Feb
19089540	2008 Nov
19064326	2009 Jun
19056196	2009 Jun
18941854	2009 Dec
18924142	2009 Mar
18922704	2009 Apr
18836236	2008
18836225	2008
18826579	2008
18822193	2008 Oct
18817862	2009 Jun 25
18786840	2009 Mar
18760939	2009 Feb
18757215	2009 Feb
18699993	2008
18672387	2009 Feb
18664254	2008
18655133	2009 Jan
18635922	2008 Jul
18601460	2008 Aug
18597092	2008 Nov
18573668	2009 Jan
18571101	2008 Jul
18546028	2008 Aug
18536737	2008 Jun
18524638	2008 Dec
18440246	2008 Nov
18378169	2008 Sep
18358246	2008 Jun
18324355	2008 Jul
18308591	2008 Sep
18289887	2008 Jul
18253075	2008 Jan-Feb
18251495	2008 Feb 28
18246688	2007 Dec
18227807	2008 Mar
18226558	2008 Jul
18202097	2008 Mar 15
18201914	2008 Jul
18196436	2008 Feb
18182205	2008 Jan
18164790	2008 Apr
18162190	2008 Feb
18078697	2008 Mar
18065760	2008 Feb 22
18032072	2008 Jul
17986983	2001 Apr 30
17983423	2008 Jan
17977753	2008 May
17924112	2008 Mar
17907184	2007 Oct
17889569	2008 Apr
17826961	2007 Oct
17806152	2007 Aug
17763450	2008 Jan
17763056	2007 Nov
17686167	2007
17629939	2007 Oct
17623656	2007 Sep 21
17612627	2007 Jun
17599731	2007 Jul
17576081	2007 Dec
17564307	2004
17537650	2007 Nov
17469133	2007 May
17469132	2007 May
17434520	2007
17416724	2007 Apr 7
17413965	2007 Apr
17409739	2006
17408983	2007 Sep
17401567	2007 Aug
17379543	2007 Aug
17376710	2007 Aug
17267227	2007 Mar 15
17257416	2007
17207396	2006 Nov-Dec
17187753	2007 Feb 1
17185834	2006 Oct-Dec
17174958	2007
17174116	2007 May
17158799	2006 Dec 19
17157537	2007 Apr
17143596	2007 Mar
17121649	2006 Dec
17098451	2007 Apr
17082378	2007 Mar
17072658	2007 May
17033834	2006 Nov
17008111	2007 Mar
16995764	2006 Oct
16979130	2006 Nov
16965923	2007 Feb
16949051	2006 Oct 20
16934183	2006 Aug 20
16919424	2006 Aug
16895758	2007 Jan
16869019	2006 Aug
16861013	2007 Jan
16829037	2006 Nov
16819182	2006 Jul
16765606	2006 Nov
16740257	2006 Jul 10
16736522	2006 Jun
16721529	2006 May
16716606	2006 Oct
16644246	2006 Sep
16639625	2006 Aug
16607552	2006 Oct
16581860	2006 Aug 1
16567454	2006 Aug
16563812	2006 Aug
16526282	2006 Feb
16516501	2006 Jul
16514637	2006 Apr
16504737	2006 Jan-Feb
16500096	2006 Sep
16485275	2006 Mar
16483806	2006 Jun
16480901	2006 Jun
16470459	2005 Dec
16463423	2006 Feb 15
16427327	2006 May
16413501	2006 Mar 3
16385543	2006 Jan
16344493	2006 Jan
16307185	2005 Nov
16286033	2005 Nov
16286032	2005 Nov
16258912	2005 Nov
16169257	2005 Nov
16165377	2005 Dec
16154778	2005 Dec
16153550	2005 Sep
16122644	2005 Sep
16105911	2005 Nov
16099121	2005 Nov
16099082	2005 Nov
16056079	2005 Aug
16036131	2005 Aug 26
16034188	2005 Jul
16023007	2005 Jul
16022984	2005 Jul
15993557	2005 Nov
15973508	2005 Jun
15967685	2005 Sep
15935608	2005 Nov
15913943	2005 Nov
15883738	2005 Apr
15883039	2005 Jun 17
15882564	2005 May
15882563	2005 May
15818693	2005 Apr
15788315	2005 Feb
15780645	2005 Apr
15780643	2005 Apr
15765218	2005 Nov
15764839	2005 Mar
15758487	2001 Jun
15758375	2002 Dec
15751088	2005 Mar
15727894	2005 Mar
15727893	2005 Mar
15703011	2005 Feb
15694579	2005 Feb
15694577	2005 Feb
15694575	2005 Feb
15676082	2005 Feb
15642141	2005
15641085	2005 Jan
15636551	2004 Nov
15608304	2005 Jan
15603819	2005 Jun
15564068	2004 Dec
15564066	2004 Dec
15544889	2004 Dec
15541672	2004 Nov-Dec
15523898	2004 Sep-Oct
15501408	2004 Nov
15501403	2004 Nov
15501401	2004 Nov
15472397	2004
15466401	2004 Oct
15450534	2004 Oct
15380039	2004
15334467	2004 Aug
15325637	2004 Sep
15304263	2004 Sep
15299285	2004
15280602	2004
15270275	2004 Jun
15262243	2004 Aug
15262241	2004 Aug
15249318	2004 Aug
15229942	2004 Jul
15219574	2004 Jul
15183429	2004 Jul
15064812	2004 Apr
15045525	2005 Aug
15020329	2004 Apr
14972340	2004 Mar
14758471	2004 Nov
14722210	2004 Feb
14698991	2004 May
14652478	2003 Dec 1
14646055	2003
14629965	2003 Dec
14609534	2003 Nov
14521295	2003 Aug
13129695	2003 Oct
12972479	2003 Oct
12954234	2003 Sep
12939762	2003 Sep
12939359	2003 Sep
12932295	2003
12932294	2003
12919881	2003 Sep
12847686	2003 Jul
12796883	2003 Jun
12794826	2003 Jun
12773042	2003 Jun 5
12752202	2003 May
12738249	2003 Apr
12724680	2003 May-Jun
12704696	2003 May
12703656	2003 Mar
12658748	2002
12649027	2003 Mar
12640890	2003 Feb
12623289	2003 Mar
12623287	2003 Mar
12604692	2003 Mar
12581388	2003 Mar
12554127	2003 Feb
12505488	2003 Jan
12505486	2003 Jan
12486471	2002
12483727	2002 Dec
12426659	2002 Nov
12426543	2002 Nov-Dec
12400399	2001 Fall
12369789	2002 Oct
12322970	2002 Dec
12175098	2002 Jul-Aug
12172719	2002 Jul
12164342	2002 Jun
12112417	2002 Jul 1
12082287	2002
12056850	2002 Jun
12038628	2002 May
12012032	2002 May
12006318	2002 Jun
12002826	2002 Apr
11900196	2002 Feb 21
